SiteID,SiteID_Abbreviation,Locale,ChannelID
Australia,AU,en_AU,EBAY_AU
Austria,AT,de_AT,EBAY_AT
Belgium_Dutch,BENL,nl_BE,EBAY_BE_NL
Belgium_French,BEFR,fr_BE,EBAY_BE_FR
Canada,CA,en_CA,EBAY_CA
CanadaFrench,CAFR,fr_CA,EBAY_QUEBEC
France,FR,fr_FR,EBAY_FR
Germany,DE,de_DE,EBAY_DE
HongKong,HK,zh_HK,EBAY_HK
India,IN,en_IN,EBAY_IN
Ireland,IE,en_IE,EBAY_IE
Italy,IT,it_IT,EBAY_IT
Malaysia,MY,en_MY,EBAY_MY
Netherlands,NL,nl_NL,EBAY_NL
Philippines,PH,en_PH,EBAY_PH
Poland,PL,pl_PL,EBAY_PL
Singapore,SG,en_SG,EBAY_SG
Spain,ES,es_ES,EBAY_ES
Switzerland,CH,de_CH,EBAY_CH
UK,UK,en_GB,EBAY_UK
US,US,en_US,EBAY_US
Taiwan,TW,zh_TW,EBAY_TW
CzechRepublic,CZ,cs_CZ,EBAY_CZ
Denmark,DK,da_DK,EBAY_DK
Finland,FI,fi_FI,EBAY_FI
Greece,GR,gl_GR,EBAY_GR
Hungary,HU,hu_HU,EBAY_HU
Indonesia,ID,id_ID,EBAY_ID
Israel,IL,he_IL,EBAY_IL
NewZealand,NZ,en_NZ,EBAY_NZ
Norway,NO,no_NO,EBAY_NO
Portugal,PT,pt_PT,EBAY_PT
Puert Rico,PR,en_PR,EBAY_PR
Russia,RU,ru_RU,EBAY_RU
SouthAfrica,ZA,sf_ZA,EBAY_ZA
Sweden,SE,sv_SE,EBAY_SE
Thailand,TH,th_TH,EBAY_TH
Vietnam,VN,vi_VN,EBAY_VN
China,CN,zh_CN,EBAY_CN
Peru,PE,es_PE,EBAY_PE
eBayMotors,eBayMotors,EBAY_Motors,EBAY_Motors
